 ,Area1,Mean1,Min1,Max1
487,80.338,34.204,0,167
488,80.338,34.899,0,152
489,80.338,31.947,0,148
490,80.338,33.762,0,168
491,80.338,33.043,0,147
492,80.338,32.959,1,149
493,80.338,33.053,1,151
494,80.338,34.144,0,150
495,80.338,34.608,0,180
496,80.338,31.861,1,153
497,80.338,33.531,0,146
498,80.338,31.666,0,129
499,80.338,33.719,1,146
500,80.338,34.296,0,159
